Timestamp,In which course are you enrolled?,Course design [The assigned readings have helped me meet the Learning Targets.],Course design [The RStudio primers have helped me meet the Learning Targets.],Course design [The Team Activities have helped me meet the Learning Targets.],Course design [The Learning Journals have helped me meet the Learning Targets.],Course design [The online class sessions have helped me meet the Learning Targets.],Course design [The Projects have helped me meet the Learning Targets.],Course design [The Applications have helped me meet the Learning Targets.],Course design [The Blackboard course site is organized in a way that helps me to effectively navigate the course materials.],Instructor [The instructor is genuinely interested in my understanding.],Instructor [The instructor answers questions effectively.],Instructor [The instructor is available for extra help when needed.],"What as been the best aspect of *this course* so far, and why?","If there was one thing about *this course* that you would change, what would it be, and why?",What is one thing that *you* can do differently to improve your learning? Explain how you plan to do this.,Optional: Provide any additional comments that you feel that were not addressed by the above items or that you wish to expand upon here.
9/29/2020 16:03:22,STA 518,Strongly agree,Moderately agree,Strongly agree,Slightly agree,Slightly agree,Slightly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"The content has all been great. The book is very good, and the primers and activities supply good practice to go along with the readings.","The first thing I would change would be lowering the learning journal requirement. I am an A student, but I find that I may not be able to get an A in this class solely because of the insane amount of learning journals we are supposed to do. I do not think it should have such a heavy weight on our grade. If we have 2 preparations/week, I think it would make sense to require 2 learning journals/week to get reach an A. ","I think I'm learning a lot, and I understand the material, so I do not have anything I'd change.","I first typed all of this under the question asking what one thing we'd change about the course. Seeing this section, I think it's a more appropriate place to put it:

It's a lot. Activities, preparations, learning journals, applications, projects. I feel that the actual material in this class is not difficult, but I find it very hard to find the time to do everything. This is coming from someone with a full time job, but this course is required for my degree and my degree is supposed to be designed for working professionals. A lot of my time in the activities is helping my group members, so those take up even more time given we need to merge our work when we all finish. I don't know if groups are appropriate for this class - I get along with my group well, but I feel like I'm a tutor for a class I'm currently enrolled in. In addition, only having one day to complete a preparation and follow-up between classes isn't great, and having applications and projects seems redundant. I really do enjoy the material that we are learning in this class. It just seems like a lot of repetitive busy work."
9/29/2020 16:25:44,STA 418,Moderately agree,Strongly agree,Moderately agree,Slightly agree,Moderately agree,Slightly agree,Strongly agree,Strongly agree,Strongly agree,Moderately agree,Moderately agree,the best aspect is that the resources are readily available for the students ,i would find a way to get rid of github. most of the issues my group and i have had have been directly related to github rather than learning r ,spend more time to learn the information,
9/29/2020 16:41:27,STA 418,Moderately agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Moderately agree,Slightly disagree,Moderately agree,Strongly agree,Strongly agree,Strongly agree,A combo of the primers and group activities,The layout of the Applications. I replicated the table exactly minus having used knittr since it wasn't mentioned that we needed to use the knittr package.,"If I had more time, I would ensure I understand everything that we're covering as we cover it. Sadly I don't have the time so I'm hoping to understand it from the primers/readings.",The primers and readings sometimes overlap and it's redundant to do both (unless the student doesn't have any experience coding or using R). Also a bit more guidance/explicitly stating what you want in the applications would be an immense help and save time.
9/29/2020 17:08:07,STA 418,Strongly agree,Strongly agree,Strongly agree,Moderately disagree,Strongly agree,Moderately agree,Moderately agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,The class sessions because we are able to work with our group to learn together and Professor Dykes is available to help when needed. ,The grading scales because they are confusing ,"Take notes while doing the RStudio Primers to have a ""cheat sheet"" to use when working on activities. ",
9/29/2020 17:43:15,STA 518,Slightly agree,Moderately agree,Slightly disagree,Slightly agree,Moderately disagree,Slightly disagree,Moderately disagree,Slightly disagree,Moderately agree,Moderately agree,Moderately agree,I think the best part would be the rstudio cloud primers I think they give a good start and understanding,All the group work because sometimes it is like you are doing the work by yourself,I think using over sources for help online to really firm up some content ,
9/29/2020 17:48:02,STA 418,Slightly agree,Strongly agree,Strongly agree,Strongly disagree,Moderately agree,Slightly agree,Slightly agree,Moderately agree,Strongly agree,Strongly agree,Strongly agree,"Instead of starting out slow with basics, we dove straight into r and how to use it effectively while working with datasets. I like this part the most because it is a higher level course, and so many minor details can be picked up as you go, instead of dedicating large amounts of class time on basic concepts for statistical coding.","At some points, the in-class coursework is slightly tedious/long, yet at the same time this is an upper level course so that is to be expected. If it is possible to slightly consolidate the coding we do in class, while not compromising too much of our time with other assignments out of class and not missing any content, then that would be perfect. Yet, this could be too much to ask for depending on how adaptable the content/module schedule is. Also, I have a tough time finding the motivation to complete the learning journals since I am preoccupied with other assignments in this class. ","I have been neglecting the course journals, unfortunately. On top of other class assignments and other courses, it can be difficult to remember to complete them.","I hope this all helps, and thank you for giving us this opportunity to express ourselves! This is the first time a professor has been very open and direct with the course plan. Good thinking!"
9/29/2020 18:26:57,STA 518,Moderately disagree,Moderately agree,Moderately agree,Moderately agree,Moderately disagree,Slightly disagree,Moderately disagree,Moderately agree,Strongly agree,Strongly agree,Strongly agree,"The team activities. Not only has it allowed me to meet a couple of new people, but it has been nice being able to work together and share ideas with my teammates.","Being able to utilize more resources for the applications. The reason being that in the real world you would want to use any resource necessary in order to get the job done, and so I think that should be considered here for the applications.",I think just spending more time with the material will help.,
9/29/2020 19:53:30,STA 518,Slightly agree,Strongly agree,Strongly agree,Moderately disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Strongly agree,Strongly agree,The group work is nice to work together and understand concepts,"The work load is a lot for three credits, the learning journals require a lot to get an A and the grading is confusing. The learning targets have a lot of different aspects to get an A and it is a little confusing/daunting looking at the syllabus and trying to figure out everything we need to do to get an A. ",I could map out the course for myself and make a list/plan on what I need to accomplish each week and over the semester. ,
9/29/2020 20:52:49,STA 518,Slightly agree,Slightly agree,Moderately agree,Slightly agree,Moderately agree,Slightly agree,Moderately agree,Strongly agree,Strongly agree,Moderately agree,Strongly agree,Working through examples has been the best aspect of the course.,"The group work is helpful, but I would like more instruction through specifics when functions get more difficult. Such as pivot as it is not in the coursework.","Try to find more examples to go through the course work. The beginning was easy, but as things progress and get more complex it gets confusing for me.",
9/29/2020 20:56:07,STA 518,Moderately agree,Moderately agree,Moderately disagree,Slightly disagree,Slightly disagree,Slightly agree,Slightly agree,Slightly disagree,Moderately agree,Moderately agree,Strongly agree, I enjoy learning R language and applying it.,I feel there is more work than learning accomplished; it is difficult to work in groups and I feel pressure and anxiety when class time is strictly group work which I feel distracts from learning,Use the materials provided; continue to navigate where to find information needed,"I feel having only group works makes the question time in the beginning of class rushed;  I'm disappointed recordings of class sessions haven't been made available, as I feel it would be valuable to be able to watch what occurs when you are meeting with individual groups."
9/29/2020 21:26:52,STA 518,Strongly agree,Strongly agree,Strongly agree,Moderately disagree,Strongly agree,Strongly agree,Strongly agree,Slightly disagree,Strongly agree,Moderately agree,Strongly agree,I really like working as a team to work through the activities. It is a really immersive experience and helps reinforce the knowledge I'm learning in the book and the primers.,I don't love the learning journals. I don't think I'm getting very much from them and it is tedious more than helpful.,I could re-read the chapters now that I have more of an understanding of the language.,
9/29/2020 21:42:14,STA 418,Slightly agree,Moderately agree,Moderately agree,Moderately disagree,Slightly agree,Slightly agree,Slightly disagree,Moderately agree,Strongly agree,Strongly agree,Strongly agree,"Especially because this class is online, I really appreciate the group aspect of this class. It is nice to have other students to turn to when I struggle with something.","The workload is so much. It has been a serious struggle to try and keep up with at times. I appreciate that it is so structured and your attempt to keep up with the ""standard"" practice, but nothing about this semester is standard. The prep and follow up that we must complete between 7:15pm Monday and midnight on Tuesday is especially difficult. ","I could block out more time for reading the chapters. I find it difficult to complete the assignments at times because it feels as if I don't fully understand the ""language."" It has been hard to try to teach myself as someone with very limited coding experience. ",
9/29/2020 22:18:15,STA 518,Strongly agree,Moderately agree,Strongly agree,Strongly agree,Strongly agree,Moderately agree,Moderately agree,Strongly agree,Strongly agree,Strongly agree,Moderately agree,Team activities. It is helpful to work and problem-solve together.,I would like to have more time to complete an application.,"Write more journal entries, especially on how I could apply the material to my own examples.",
9/30/2020 17:09:22,STA 518,Strongly agree,Strongly agree,Moderately agree,Strongly agree,Slightly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,The best aspect ate the activities and primers. Activities help me learn the concept in a effective way. Primers give an outline before getting into the actual activity,Instead of two classes a week It would be better if we a one class with a duration of 3 hours,For now I think I'm in the right direction.,
